date,005930.KS
2024-06-10,72713.703125
2024-06-11,72233.4296875
2024-06-12,73482.140625
2024-06-13,75499.2890625
2024-06-14,76459.84375
2024-06-17,75019.03125
2024-06-18,76651.953125
2024-06-19,77996.71875
2024-06-20,78380.9453125
2024-06-21,76844.0703125
2024-06-24,77420.40625
2024-06-25,77612.515625
2024-06-26,78092.78125
2024-06-27,78730.5390625
2024-06-28,78634.0625
2024-07-01,78923.5
2024-07-02,78923.5
2024-07-03,78923.5
2024-07-04,81625.046875
2024-07-05,84037.140625
2024-07-08,84326.59375
2024-07-09,84712.53125
2024-07-10,84712.53125
2024-07-11,84519.5546875
2024-07-12,81432.078125
2024-07-15,83651.203125
2024-07-16,84616.0234375
2024-07-17,83651.203125
2024-07-18,83844.1640625
2024-07-19,81432.078125
2024-07-22,80081.3125
2024-07-23,80949.6640625
2024-07-24,79116.4765625
2024-07-25,77572.734375
2024-07-26,78055.15625
2024-07-29,78344.6015625
2024-07-30,78151.6484375
2024-07-31,80949.6640625
2024-08-01,80177.796875
2024-08-02,76800.875
2024-08-05,68889.2265625
2024-08-06,69950.546875
2024-08-07,72073.171875
2024-08-08,70818.8984375
2024-08-09,72073.171875
2024-08-12,72845.0625
2024-08-13,73423.9453125
2024-08-14,74485.2578125
2024-08-16,77379.7734375
2024-08-19,75546.5859375
2024-08-20,76125.4921875
2024-08-21,75546.5859375
2024-08-22,75546.5859375
2024-08-23,74967.6875
2024-08-26,73423.9453125
2024-08-27,73134.4921875
2024-08-28,73713.3984375
2024-08-29,71397.7890625
2024-08-30,71687.2421875
2024-09-02,71783.734375
2024-09-03,69950.546875
2024-09-04,67538.453125
2024-09-05,66573.6171875
2024-09-06,66477.140625
2024-09-09,65126.37109375
2024-09-10,63872.08203125
2024-09-11,62617.80078125
2024-09-12,63968.5703125
2024-09-13,62135.3828125
2024-09-19,60881.09375
2024-09-20,60784.609375
2024-09-23,60398.67578125
2024-09-24,60977.57421875
2024-09-25,60012.74609375
2024-09-26,62424.83203125
2024-09-27,62289.96484375
2024-09-30,59670.2890625
2024-10-02,59476.2421875
2024-10-04,58797.07421875
2024-10-07,59185.1640625
2024-10-08,58505.99609375
2024-10-10,57147.64453125
2024-10-11,57535.74609375
2024-10-14,57535.74609375
2024-10-15,59185.1640625
2024-10-16,57729.796875
2024-10-17,57923.84765625
2024-10-18,57438.71875
2024-10-21,57244.671875
2024-10-22,55983.3515625
2024-10-23,57341.6953125
2024-10-24,54916.0703125
2024-10-25,54236.8984375
2024-10-28,56371.4453125
2024-10-29,57826.81640625
2024-10-30,57341.6953125
2024-10-31,57438.71875
2024-11-01,56565.49609375
2024-11-04,56953.59375
2024-11-05,55886.3203125
2024-11-06,55595.25
2024-11-07,55595.25
2024-11-08,55304.171875
2024-11-11,53363.67578125
2024-11-12,51423.1796875
2024-11-13,49094.58203125
2024-11-14,48415.4140625
2024-11-15,51908.3046875
2024-11-18,55013.09375
2024-11-19,54625.00390625
2024-11-20,53654.75390625
2024-11-21,54722.0234375
2024-11-22,54333.92578125
2024-11-25,56177.3984375
2024-11-26,56565.49609375
2024-11-27,54625.00390625
2024-11-28,53848.80078125
2024-11-29,52587.48046875
2024-12-02,52005.328125
2024-12-03,52005.328125
2024-12-04,51520.20703125
2024-12-05,52102.3515625
2024-12-06,52490.453125
2024-12-09,51811.28515625
2024-12-10,52393.42578125
2024-12-11,52393.42578125
2024-12-12,54236.8984375
2024-12-13,54430.953125
2024-12-16,53945.82421875
2024-12-17,52587.48046875
