date,SPY,EWJ,EWY,EZU,TSM
2022-12-01,388.7486267089844,51.30855941772461,55.470027923583984,37.422237396240234,78.24307250976562
2022-12-02,388.300048828125,51.08024215698242,54.66984558105469,37.431392669677734,77.12638854980469
2022-12-05,381.3148498535156,50.011688232421875,53.400596618652344,37.001251220703125,77.23995208740234
2022-12-06,375.8182678222656,49.85643005371094,52.49924087524414,36.77245330810547,75.29048919677734
2022-12-07,375.178955078125,50.00255584716797,52.784358978271484,36.86397171020508,74.98767852783203
2022-12-08,378.11810302734375,50.31307601928711,52.995906829833984,36.97379684448242,76.4639663696289
2022-12-09,375.2934265136719,50.46833038330078,53.382198333740234,36.90973663330078,76.35987854003906
2022-12-12,380.7041320800781,50.45920181274414,53.529361724853516,37.0836181640625,76.11383819580078
2022-12-13,383.58599853515625,51.18598556518555,54.22473907470703,37.676475524902344,76.18952178955078
2022-12-14,381.133544921875,51.14021682739258,54.001319885253906,37.64889907836914,75.72582244873047
2022-12-15,371.8103942871094,49.89535140991211,51.66476821899414,36.536712646484375,73.86143493652344
2022-12-16,367.4207458496094,49.93196487426758,52.41880416870117,36.10470962524414,72.6147232055664
2022-12-19,364.3050842285156,49.611595153808594,52.73530197143555,36.10470962524414,72.42438507080078
2022-12-20,364.80364990234375,50.31640625,53.47071075439453,36.18743133544922,71.96756744384766
2022-12-21,370.2584228515625,50.24318313598633,53.359004974365234,36.674591064453125,73.41413116455078
2022-12-22,364.9761657714844,50.09672164916992,52.96803283691406,36.31611633300781,71.64397430419922
2022-12-23,367.07568359375,50.13333511352539,53.09835433959961,36.352882385253906,71.27281188964844
2022-12-27,365.6280212402344,49.904502868652344,53.666202545166016,36.444801330566406,70.73035430908203
2022-12-28,361.08404541015625,49.30952835083008,52.69806671142578,36.05875015258789,69.53120422363281
2022-12-29,367.5837097167969,50.22486877441406,53.182132720947266,36.73893356323242,72.3292007446289
2022-12-30,366.615478515625,49.831275939941406,52.577049255371094,36.28853988647461,70.89213562011719
2023-01-03,365.07208251953125,50.06926345825195,51.599609375,36.77569580078125,70.45435333251953
2023-01-04,367.8905029296875,49.57497787475586,53.638275146484375,37.75920486450195,72.63375091552734
2023-01-05,363.691650390625,48.906776428222656,53.0704231262207,37.41910934448242,72.07225799560547
2023-01-06,372.0318603515625,50.13333511352539,55.751407623291016,38.47614288330078,74.2992172241211
2023-01-09,371.8209228515625,50.24318313598633,56.92434310913086,38.86219787597656,76.43102264404297
